Day,Start Time,End Time,Subject Code,Employee Code,Class Level,Section Name,Session Type,Batch,Room Number
Wednesday,14:00,15:00,23ASH1109,1020333,SY,SMAD,Lecture,,
Wednesday,15:00,17:00,23IT1103,1020584,SY,SMAD,Practical,,
Thursday,9:00,11:00,23IT2003,1020333,SY,SMAD,Practical,,
Thursday,11:10,13:00,23IT2001,1020748,SY,SMAD,Practical,,
Thursday,14:00,15:00,23CSE1011,1020670,SY,SMAD,Lecture,,
Thursday,15:00,17:00,23CSE2007,1020356,SY,SMAD,Practical,,
Friday,9:00,11:00,23IT1010,1020356,SY,SMAD,Practical,,
Friday,11:10,13:00,23CIV1302,1020446,SY,SMAD,Lecture,,
Friday,14:00,15:00,23SHD1007,1020755,SY,SMAD,Lecture,,
Friday,15:00,17:00,23ASH1109,1020446,SY,DA,Lecture,Batch A,
Friday,15:00,17:00,23ASH1109,1020416,SY,DA,Lecture,Batch B,
